44027	189556
494228	630026
664062	664027
595269	546537
82334	99764
84801	66801
125546	442898
95410	101136
78664	84607
80040	82527
644491	672202
518877	629857
450725	610251
2573	420544
9859	458117
418529	419526
5648	420930
662699	663025
197798	48775
39529	49546
393263	394704
66754	84656
487896	487868
448126	65165
16928	16993
129474	440079
100566	84667
369595	369596
233075	437676
391932	652047
168272	445993
487685	487813
82023	81306
155318	450726
434540	366466
31973	442641
390833	441226
255019	60838
517879	462339
230940	444882
487851	486559
100897	84827
567837	569089
235555	450709
168367	168176
375141	418579
664111	663948
4509	359281
665125	665103
100460	80812
232399	420254
313773	450719
521465	519725
638896	602723
448042	420600
508381	664057
450772	402842
38836	418530
225301	450768
95504	85332
99753	84211
32657	444613
227277	439113
82336	85084
85619	85573
13092	460976
486548	487949
664369	662906
254510	450789
622967	450737
602778	615643
237070	218561
626658	620255
21863	449245
375873	186000
487973	486308
476490	529768
521068	461663
6362	442172
625508	606519
232414	450767
100380	84392
343234	446713
49513	440433
460971	440433
9435	106431
259132	358275
434386	450397
94598	68768
162891	446095
418863	449598
462939	654116
18989	432468
82147	95225
420637	421014
95940	100415
84258	84639
662764	664200
95430	81688
675062	638277
