41228	21695
75090	48108
50867	41561
62011	30230
35157	32193
34145	71494
41536	31410
107	60075
29117	38543
47903	58498
32243	30193
21053	30585
33060	22818
5941	30131
32976	19324
1956	39122
20789	39786
35560	31339
26505	11347
46272	48495
35098	40322
21314	8967
44491	7807
23841	51568
19819	49873
47823	44947
20373	13949
35891	60154
10645	50871
21978	5763
34550	32220
42	7083
53871	34613
11581	21312
31991	53267
30465	33517
52367	30872
30778	53507
2728	29192
39487	1261
44507	17974
24824	12004
17638	49266
52627	42906
30642	770
1522	22010
34544	24040
56826	999
3806	21474
37867	53512
57564	50881
9763	33148
41204	41213
11557	22364
351	7426
37482	30611
19949	11565
9774	47989
21470	50639
3734	47602
26528	13447
27659	26480
4909	52353
65275	7294
45889	2994
677	47150
35003	47941
21780	6676
23673	14424
4219	53814
31448	28731
15755	20884
2944	13163
40430	215
46197	9406
9628	24703
10780	4830
9219	59497
10922	20871
55717	18956
40846	41996
30745	37002
3788	15589
31387	24798
6386	4085
359	400
33438	23315
24653	13832
13716	8479
40601	26018
14839	54
1543	19413
37650	46013
39487	19466
5288	44571
13664	18868
42499	17650
28748	35390
60332	43618
5528	58628
